ru;de;typ;topic;einheit
Россия;Russland;f.;политика;
август;August;m.;время;
автобус;Bus;m.;транспорт, путешествие;02
адрес;Adresse;m.;жильё;
активный;aktiv;Adj.;люди, описание;
английский;Englisch;Adj.;описание;
англичанин;Engländer;m. (Pers.);политика, люди;
апрель;April;m.;время;
аптека;Apotheke;f.;здоровье;02
артист;Künstler;m. (Pers.);свободное время, учёба/работа;
архитектура;Architektur;f.;учёба/работа, жильё;
аудитория;Auditorium;f.;люди, общение;
аэропорт;Flughafen;m.;транспорт, путешествие;
бабушка;Großmutter;f. (Pers.);люди;
балет;Ballett;m.;свободное время;
банк;Bank;m.;учёба/работа;02
бассейн;Schwimmbad;m.;свободное время, здоровье;
бедный;arm;Adj.;люди, описание;
белый;Weiß;Adj.;описание;
библиотека;Bibliothek;f.;учёба/работа;02
бизнесмен;Geschäftsmann;m. (Pers.);люди, учёба/работа;
билет;Eintrittskarte;m.;путешествие, свободное время;
биология;Biologie;f.;учёба/работа, животные/растения;
богатый;reich;Adj.;люди, мера;
больной;der Kranke;m. (Pers.);внутренний мир;
большой;groß;Adj.;мера;07
брат;Bruder;m. (Pers.);люди;05
брать;nehmen;Verb;общение, магазин;
будущий;zukünftig;Adj.;время, описание;
бытовой;Alltags-;Adj.;жильё;
вагон;Wagen;m.;путешествие;
век;Jahrhundert;m.;мера, время;
великий;groß;Adj.;мера, описание;
весна;Frühling;f.;время;
весёлый;fröhlich;Adj.;описание, внутренний мир;
вечер;Abend;m.;мера, время;
взять;nehmen;Verb;общение, магазин;
видеть;sehen;Verb;внутренний мир;
виза;Visum;f.;путешествие;
вино;Wein;n.;еда;02
внук;Enkel;m. (Pers.);люди;
внучка;Enkelin;f. (Pers.);люди;
вода;Wasser;f.;еда;
вокзал;Bahnhof;m.;транспорт, путешествие;
вопрос;Frage;m.;люди;
воскресенье;Sonntag;n.;время;
врач;Arzt;m. (Pers.);люди, учёба/работа, здоровье;03
время;Zeit;n.;время;
встречать;treffen;Verb;люди, общение;
вторник;Dienstag;m.;время;
вход;Eingang;m.;жильё;
высокий;hoch;Adj.;мера;
газета;Zeitung;f.;свободное время, учёба/работа;05
гитара;Gitarre;f.;свободное время;
глаз;Auge;m.;люди, здоровье;
говорить;sprechen;Verb;люди, общение;
год;Jahr;m.;мера, время;
голова;Kopf;f.;люди, здоровье;
голубой;Schwule;Adj.;описание;
город;Stadt;m.;люди, путешествие;
городской;Stadt-;Adj.;описание, жильё;
горячий;heiß;Adj.;описание, еда;
господин;Herr;m. (Pers.);люди;
гостиница;Hotel;f.;путешествие, жильё;
гость;Gast;m. (Pers.);люди;
государственный;Staats-;Adj.;учёба/работа, политика;
готовый;bereit;Adj.;описание, учёба/работа, время;
грамм;Gramm;m.;мера;
группа;Gruppe;f.;люди, мера;
гулять;spazieren;Verb;свободное время;
давать;geben;Verb;общение, магазин;
дарить;schenken;Verb;люди;
дверь;Tür;f.;жильё;
девочка;Mädchen;f. (Pers.);люди;
девушка;Mädchen;f. (Pers.);люди;
дедушка;Großvater;m. (Pers.);люди;
декабрь;Dezember;m.;время;
делать;machen;Verb;свободное время, учёба/работа;
день;Tag;m.;мера, время;
деньги;Geld;nur Pl.;люди, учёба/работа;
детский;kindlich;Adj.;описание, время, люди;
дешёвый;billig;Adj.;магазин;
добрый;gutmütig;Adj.;описание;
дождь;Regen;m.;погода;
документ;Dokument;m.;учёба/работа;
должный;sollen;Adj.;описание, учёба/работа;
дом;Haus;m.;люди, жильё;03
домохозяйка;Hausfrau;f. (Pers.);люди;
дорога;Weg;f.;путешествие;
дорогой;teuer;Adj.;описание;
дочь;Tochter;f. (Pers.);люди;
друг;Freund;m. (Pers.);люди;05
другой;andere;m. (Pers.);описание;
думать;denken;Verb;внутренний мир, учёба/работа;
